Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Datetime
2/4/2008,18:06:00,0.288,0.0,240.17,1.2,0.0,1.0,0.0,2008-04-02 18:06:00
12/11/2007,14:54:00,1.36,0.056,239.77,5.6,0.0,0.0,18.0,2007-11-12 14:54:00
4/8/2007,15:39:00,0.31,0.1,237.68,1.4,0.0,0.0,0.0,2007-08-04 15:39:00
1/9/2007,22:49:00,1.81,0.368,242.45,7.6,0.0,2.0,0.0,2007-09-01 22:49:00
18/11/2007,12:42:00,1.932,0.48,245.56,8.0,1.0,1.0,19.0,2007-11-18 12:42:00
16/5/2007,23:15:00,0.296,0.082,239.0,1.2,0.0,0.0,0.0,2007-05-16 23:15:00
26/10/2007,18:04:00,0.88,0.088,243.61,3.8,0.0,0.0,0.0,2007-10-26 18:04:00
11/11/2008,21:01:00,2.584,0.0,239.07,10.8,1.0,0.0,18.0,2008-11-11 21:01:00
3/11/2008,23:20:00,0.456,0.212,242.55,2.0,0.0,1.0,0.0,2008-11-03 23:20:00
4/7/2007,6:42:00,0.334,0.172,242.3,1.6,0.0,1.0,0.0,2007-07-04 06:42:00
26/10/2008,23:25:00,0.284,0.05,242.68,1.2,0.0,0.0,0.0,2008-10-26 23:25:00
2/8/2008,18:14:00,0.214,0.09,236.69,1.0,0.0,0.0,1.0,2008-08-02 18:14:00
11/9/2007,2:46:00,0.11,0.0,242.13,0.6,0.0,0.0,0.0,2007-09-11 02:46:00
17/6/2007,7:50:00,0.196,0.092,238.73,0.8,0.0,0.0,0.0,2007-06-17 07:50:00
19/11/2008,15:54:00,0.48,0.0,239.26,2.0,0.0,4.0,0.0,2008-11-19 15:54:00
30/4/2007,20:00:00,1.046,0.372,237.13,4.6,0.0,4.0,0.0,2007-04-30 20:00:00
28/9/2007,22:58:00,0.33,0.12,244.17,1.4,0.0,0.0,0.0,2007-09-28 22:58:00
18/10/2008,9:07:00,1.622,0.046,236.97,6.8,0.0,0.0,17.0,2008-10-18 09:07:00
5/10/2007,1:06:00,0.3,0.072,239.78,1.2,0.0,0.0,0.0,2007-10-05 01:06:00
24/12/2006,4:18:00,1.718,0.0,245.52,8.0,0.0,0.0,0.0,2006-12-24 04:18:00
